row_type,top_n_context_chunks,question,category,expected_source,retrieved_sources,top1_source,source_hit,top1_source_match,total_chunks,relevant_chunks,irrelevant_chunks,context_precision_at_n,first_relevant_rank,irrelevant_sources,retrieval_latency_ms,total_questions,source_hit_rate,top1_source_accuracy,avg_context_precision_at_n,avg_relevant_chunks,avg_irrelevant_chunks,avg_total_chunks,avg_retrieval_latency_ms
summary,5,,,,,,,,,,,,,,,10,1.0,0.8,0.46,2.3,2.7,5.0,11.3
summary,3,,,,,,,,,,,,,,,10,1.0,0.8,0.6,1.8,1.2,3.0,11.3
summary,2,,,,,,,,,,,,,,,10,1.0,0.8,0.65,1.3,0.7,2.0,11.3
detail,5,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,03_compliance_guide_en.txt,True,True,5,3,2,0.6,1,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,32,,,,,,,,
detail,3,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,3,3,0,1.0,1,,32,,,,,,,,
detail,2,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,2,2,0,1.0,1,,32,,,,,,,,
detail,5,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,5,3,2,0.6,1,01_employee_handbook_en.txt|02_employee_handbook_cn.txt,9,,,,,,,,
detail,3,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt,03_compliance_guide_en.txt,True,True,3,2,1,0.6667,1,01_employee_handbook_en.txt,9,,,,,,,,
detail,2,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,2,2,0,1.0,1,,9,,,,,,,,
detail,5,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt,04_data_security_policy_cn.txt,True,True,5,2,3,0.4,1,02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt,9,,,,,,,,
detail,3,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt,04_data_security_policy_cn.txt,True,True,3,1,2,0.3333,1,02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt,9,,,,,,,,
detail,2,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,04_data_security_policy_cn.txt,True,True,2,1,1,0.5,1,02_employee_handbook_cn.txt,9,,,,,,,,
detail,5,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt|04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,True,True,5,2,3,0.4,1,06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt,10,,,,,,,,
detail,3,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt,04_data_security_policy_cn.txt,True,True,3,1,2,0.3333,1,06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt,10,,,,,,,,
detail,2,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt,04_data_security_policy_cn.txt,True,True,2,1,1,0.5,1,06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,5,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt,True,True,5,2,3,0.4,1,06_akp_architecture_document_cn.txt|01_employee_handbook_en.txt|05_akp_technical_specification_en.txt,10,,,,,,,,
detail,3,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt,True,True,3,2,1,0.6667,1,06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,2,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt,05_akp_technical_specification_en.txt,True,True,2,1,1,0.5,1,06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,5,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,06_akp_architecture_document_cn.txt,True,False,5,3,2,0.6,2,06_akp_architecture_document_cn.txt|01_employee_handbook_en.txt,10,,,,,,,,
detail,3,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,True,False,3,2,1,0.6667,2,06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,2,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,True,False,2,1,1,0.5,2,06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,5,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,02_employee_handbook_cn.txt,True,True,5,2,3,0.4,1,01_employee_handbook_en.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,10,,,,,,,,
detail,3,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt,02_employee_handbook_cn.txt,True,True,3,2,1,0.6667,1,01_employee_handbook_en.txt,10,,,,,,,,
detail,2,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt|01_employee_handbook_en.txt,02_employee_handbook_cn.txt,True,True,2,1,1,0.5,1,01_employee_handbook_en.txt,10,,,,,,,,
detail,5,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,True,False,5,1,4,0.2,2,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,7,,,,,,,,
detail,3,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt,05_akp_technical_specification_en.txt,True,False,3,1,2,0.3333,2,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,7,,,,,,,,
