row_type,question,category,expected_source,retrieved_sources,top1_source,source_hit,top1_source_match,total_chunks,relevant_chunks,irrelevant_chunks,context_precision_at_k,first_relevant_rank,irrelevant_sources,retrieval_latency_ms,total_questions,source_hit_rate,top1_source_accuracy,avg_context_precision_at_k,avg_relevant_chunks,avg_irrelevant_chunks,avg_total_chunks,avg_retrieval_latency_ms
summary,,,,,,,,,,,,,,,10,1.0,0.8,0.46,2.3,2.7,5.0,12.6
detail,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,03_compliance_guide_en.txt,True,True,5,3,2,0.6,1,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,34,,,,,,,,
detail,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,5,3,2,0.6,1,01_employee_handbook_en.txt|02_employee_handbook_cn.txt,9,,,,,,,,
detail,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt,04_data_security_policy_cn.txt,True,True,5,2,3,0.4,1,02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt,10,,,,,,,,
detail,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt|04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,True,True,5,2,3,0.4,1,06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt,11,,,,,,,,
detail,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt,True,True,5,2,3,0.4,1,06_akp_architecture_document_cn.txt|01_employee_handbook_en.txt|05_akp_technical_specification_en.txt,9,,,,,,,,
detail,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,06_akp_architecture_document_cn.txt,True,False,5,3,2,0.6,2,06_akp_architecture_document_cn.txt|01_employee_handbook_en.txt,9,,,,,,,,
detail,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,02_employee_handbook_cn.txt,True,True,5,2,3,0.4,1,01_employee_handbook_en.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,10,,,,,,,,
detail,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,True,False,5,1,4,0.2,2,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,12,,,,,,,,
detail,AKP Platform 的核心模块有哪些？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,True,True,5,2,3,0.4,1,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt,9,,,,,,,,
detail,系统在检索置信度不足时应该怎么处理？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,True,True,5,3,2,0.6,1,03_compliance_guide_en.txt|05_akp_technical_specification_en.txt,13,,,,,,,,
