task,mode,status,duration_sec,report_path,description,key_metrics,error
operations_report,core,success,0.1,reports\operations_report.csv,Generate operations report from runtime logs.,total_requests=62; p50_latency_ms=1958; p95_latency_ms=8221; avg_latency_ms=2794.87; avg_retrieval_latency_ms=129.81; avg_generation_latency_ms=2663.74; cache_hit_rate=0.2742; refusal_rate=0.129; llm_request_count=61; extractive_request_count=1; generator_types=extractive|llm; model_names=qwen-max; total_input_tokens=49641; total_output_tokens=3727; total_tokens=53368; avg_input_tokens=902.56; avg_output_tokens=67.76; avg_total_tokens=970.33; cost_enabled=True; currency=USD; input_price_per_1m_tokens=0.4; output_price_per_1m_tokens=1.2; free_quota_enabled=True; reference_total_cost=0.024329; reference_cost_per_request=0.000392; reference_cost_per_1000_calls=0.3924; estimated_billable_total_cost=0.0; estimated_billable_cost_per_1000_calls=0.0; answer_compliance_rate=1.0; answer_compliance_report=C:\Users\dx\OneDrive\aia-rag\reports\evaluations\2026-05-11_answer_compliance_eval.csv,
answer_compliance,core,success,99.75,reports\evaluations\2026-05-11_answer_compliance_eval.csv,Evaluate answer compliance against expected answers.,total_questions=30; answer_compliance_rate=0.9667; rule_based_pass_rate=0.9667; answer_not_empty_rate=1.0; expected_refusal_match_rate=0.9667; refusal_reason_match_rate=0.9667; source_hit_rate=1.0; forbidden_keywords_clean_rate=1.0; avg_expected_keywords_hit_rate=0.9083; avg_total_latency_ms=2780.77; avg_generation_latency_ms=2732.4; avg_total_tokens=888.31,
refusal_appropriateness,core,success,62.2,reports\evaluations\2026-05-09_refusal_appropriateness.csv,Evaluate refusal behavior for unsafe or out-of-scope questions.,total_questions=14; pass_rate=1.0; refusal_decision_match_rate=1.0; refusal_reason_match_rate=1.0; false_positive_rate=0.0; false_negative_rate=0.0; answer_allowed_rate=0.4286; actual_refusal_rate=0.5714; avg_total_latency_ms=3157.14; avg_total_tokens=910.67,
context_precision,core,success,16.63,reports\evaluations\2026-05-13_context_precision_eval.csv,Evaluate context precision and source accuracy.,total_answerable=28; total_evaluated=28; avg_context_precision=0.9807; avg_source_accuracy=1.0; avg_keyword_coverage=0.9613; passing_count=28; passing_rate=1.0; prd_target=0.7; prd_pass=True,
faithfulness_llm_judge,core,success,164.24,reports\evaluations\2026-05-13_faithfulness_eval.csv,Evaluate faithfulness with LLM judge or rule-based support checks.,total_answerable=28; total_evaluated=27; avg_faithfulness=1.0; overall_statements=67; overall_faithful=67; overall_faithfulness_rate=1.0; passing_count=27; passing_rate=1.0; prd_target=0.85; prd_pass=True,
style_consistency,core,success,189.66,reports\evaluations\2026-05-13_style_consistency_eval.csv,Evaluate style and language consistency.,total_answerable=28; total_evaluated=27; avg_style_consistency=1.0; avg_language_consistency=1.0; avg_format_consistency=1.0; avg_tone_professionalism=1.0; passing_count=27; passing_rate=1.0; prd_target=0.85; prd_pass=True,
pii_redaction,core,success,0.09,reports\evaluations\2026-05-13_pii_redaction_eval.csv,Evaluate PII redaction behavior.,total_cases=13; passing_count=13; pass_rate=1.0; true_positive_cases=7; true_positive_passing=7; true_positive_pass_rate=1.0; false_positive_cases=6; false_positive_passing=6; false_positive_clean_rate=1.0; forbidden_clean_count=13; forbidden_clean_rate=1.0; placeholder_present_count=7; placeholder_present_rate=1.0; unexpected_placeholder_clean_count=6; unexpected_placeholder_clean_rate=1.0; prd_pass=True,
multiturn_qa,core,success,51.62,reports\evaluations\2026-05-13_multiturn_eval.csv,Evaluate multi-turn QA and session history usage.,total_cases=6; passing_count=6; pass_rate=1.0; history_used_count=6; history_used_rate=1.0; source_hit_count=6; source_hit_rate=1.0; avg_keyword_hit_rate=1.0; prd_pass=True,
cache,core,success,36.38,reports\evaluations\2026-05-13_cache_eval.csv,Evaluate cache behavior.,total_cases=2; passing_count=0; pass_rate=0.0; first_cache_miss_count=2; first_cache_miss_rate=1.0; second_cache_hit_count=0; second_cache_hit_rate=0.0; latency_improved_count=0; latency_improved_rate=0.0; avg_keyword_hit_rate=1.0; prd_pass=False,
pdf_ingestion,core,success,42.83,reports\evaluations\2026-05-13_pdf_ingestion_eval.csv,Evaluate PDF and OCR ingestion behavior.,total_cases=4; passing_count=1; pass_rate=0.25; pdf_files_checked=2; scanned_pdf_candidates=1; pdfs_with_ocr_performed=0; pdfs_with_ocr_succeeded=0; retrieval_hit_count=4; retrieval_hit_rate=1.0; loaded_documents=10; skipped_empty_documents=1; prd_pass=False,
advanced_memory,core,success,30.05,reports\evaluations\2026-05-13_advanced_memory_eval.csv,Evaluate persistent session memory and query rewrite.,total_cases=2; passing_count=2; pass_rate=1.0; persistent_memory_pass_count=2; persistent_memory_pass_rate=1.0; query_rewrite_applied_count=2; query_rewrite_applied_rate=1.0; retrieval_query_resolution_count=2; retrieval_query_resolution_rate=1.0; source_hit_count=2; source_hit_rate=1.0; avg_keyword_hit_rate=0.8334; prd_pass=True,
