row_type,mode,question,category,expected_source,top1_source,retrieved_sources,hit,top1_hit,expected_rank,reciprocal_rank,latency_ms,total_questions,hit_rate,top1_accuracy,mrr,avg_latency_ms
summary,vector,,,,,,,,,,,14,0.7857,0.5714,0.6452,12.07
detail,vector,What is the annual leave policy?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt,True,True,1,1.0,63,,,,,
detail,vector,How many working days in advance should employees submit annual leave requests?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt,True,True,1,1.0,10,,,,,
detail,vector,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt,True,False,3,0.3333,8,,,,,
detail,vector,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt,True,False,5,0.2,8,,,,,
detail,vector,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,1,1.0,10,,,,,
detail,vector,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,True,True,1,1.0,10,,,,,
detail,vector,What should employees do after a suspected compliance incident?,compliance,03_compliance_guide_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt,False,False,,0.0,11,,,,,
detail,vector,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt,True,True,1,1.0,8,,,,,
detail,vector,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt,True,True,1,1.0,8,,,,,
