row_type,mode,question,category,expected_source,top1_source,retrieved_sources,hit,top1_hit,expected_rank,reciprocal_rank,latency_ms,total_questions,hit_rate,top1_accuracy,mrr,avg_latency_ms
summary,vector,,,,,,,,,,,14,0.7857,0.5714,0.6452,41.71
detail,vector,What is the annual leave policy?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt,True,True,1,1.0,136,,,,,
detail,vector,How many working days in advance should employees submit annual leave requests?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt,True,True,1,1.0,34,,,,,
detail,vector,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt,True,False,3,0.3333,30,,,,,
detail,vector,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt,True,False,5,0.2,27,,,,,
detail,vector,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt,True,True,1,1.0,36,,,,,
detail,vector,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,True,True,1,1.0,22,,,,,
detail,vector,What should employees do after a suspected compliance incident?,compliance,03_compliance_guide_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt,False,False,,0.0,36,,,,,
detail,vector,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt,True,True,1,1.0,28,,,,,
detail,vector,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt,True,True,1,1.0,27,,,,,
detail,vector,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt,True,False,2,0.5,35,,,,,
detail,vector,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,False,False,,0.0,23,,,,,
detail,vector,AKP Platform 的核心模块有哪些？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt,True,True,1,1.0,50,,,,,
detail,vector,系统在检索置信度不足时应该怎么处理？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt,True,True,1,1.0,53,,,,,
detail,vector,未来系统如何支持 cache？,architecture_cn,06_akp_architecture_document_cn.txt,,,False,False,,0.0,47,,,,,
summary,hybrid,,,,,,,,,,,14,1.0,0.6429,0.8214,10.79
detail,hybrid,What is the annual leave policy?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|03_compliance_guide_en.txt,True,True,1,1.0,24,,,,,
detail,hybrid,How many working days in advance should employees submit annual leave requests?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt,True,True,1,1.0,10,,,,,
detail,hybrid,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|02_employee_handbook_cn.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|03_compliance_guide_en.txt,True,False,2,0.5,9,,,,,
detail,hybrid,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|04_data_security_policy_cn.txt,True,False,2,0.5,9,,,,,
detail,hybrid,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,True,True,1,1.0,10,,,,,
detail,hybrid,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt,True,True,1,1.0,12,,,,,
detail,hybrid,What should employees do after a suspected compliance incident?,compliance,03_compliance_guide_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|03_compliance_guide_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt,True,False,2,0.5,10,,,,,
detail,hybrid,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|04_data_security_policy_cn.txt,True,True,1,1.0,10,,,,,
detail,hybrid,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|04_data_security_policy_cn.txt,True,True,1,1.0,10,,,,,
detail,hybrid,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt,True,False,2,0.5,9,,,,,
detail,hybrid,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,True,False,2,0.5,9,,,,,
detail,hybrid,AKP Platform 的核心模块有哪些？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt,True,True,1,1.0,9,,,,,
detail,hybrid,系统在检索置信度不足时应该怎么处理？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt,True,True,1,1.0,10,,,,,
detail,hybrid,未来系统如何支持 cache？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|04_data_security_policy_cn.txt,True,True,1,1.0,10,,,,,
summary,hybrid_rerank,,,,,,,,,,,14,1.0,0.7857,0.8929,9.21
detail,hybrid_rerank,What is the annual leave policy?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|03_compliance_guide_en.txt,True,True,1,1.0,21,,,,,
detail,hybrid_rerank,How many working days in advance should employees submit annual leave requests?,hr_policy,01_employee_handbook_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|01_employee_handbook_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt,True,True,1,1.0,9,,,,,
detail,hybrid_rerank,员工病假需要提供什么材料？,hr_policy_cn,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt,02_employee_handbook_cn.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt,True,True,1,1.0,8,,,,,
detail,hybrid_rerank,远程办公时可以使用个人设备访问公司系统吗？,hr_policy_cn,02_employee_handbook_cn.txt,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt|04_data_security_policy_cn.txt|02_employee_handbook_cn.txt,True,False,2,0.5,8,,,,,
detail,hybrid_rerank,What are the audit logging requirements?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|03_compliance_guide_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,True,True,1,1.0,8,,,,,
detail,hybrid_rerank,How long should audit logs for privileged operations be retained?,compliance,03_compliance_guide_en.txt,03_compliance_guide_en.txt,03_compliance_guide_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|03_compliance_guide_en.txt,True,True,1,1.0,9,,,,,
detail,hybrid_rerank,What should employees do after a suspected compliance incident?,compliance,03_compliance_guide_en.txt,01_employee_handbook_en.txt,01_employee_handbook_en.txt|03_compliance_guide_en.txt|01_employee_handbook_en.txt|02_employee_handbook_cn.txt|01_employee_handbook_en.txt,True,False,2,0.5,8,,,,,
detail,hybrid_rerank,API Key 泄露后应该怎么处理？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|02_employee_handbook_cn.txt|06_akp_architecture_document_cn.txt|04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt,True,True,1,1.0,9,,,,,
detail,hybrid_rerank,日志中是否可以记录明文密码和完整 API Key？,security_cn,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt,04_data_security_policy_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt|04_data_security_policy_cn.txt,True,True,1,1.0,8,,,,,
detail,hybrid_rerank,What endpoints does the AKP Platform provide?,technical_spec,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt,05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt|05_akp_technical_specification_en.txt,True,True,1,1.0,7,,,,,
detail,hybrid_rerank,What fields are included in the chat log data model?,technical_spec,05_akp_technical_specification_en.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|05_akp_technical_specification_en.txt|01_employee_handbook_en.txt,True,False,2,0.5,8,,,,,
detail,hybrid_rerank,AKP Platform 的核心模块有哪些？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|05_akp_technical_specification_en.txt,True,True,1,1.0,9,,,,,
detail,hybrid_rerank,系统在检索置信度不足时应该怎么处理？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|03_compliance_guide_en.txt|06_akp_architecture_document_cn.txt|05_akp_technical_specification_en.txt,True,True,1,1.0,9,,,,,
detail,hybrid_rerank,未来系统如何支持 cache？,architecture_cn,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt,06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|06_akp_architecture_document_cn.txt|02_employee_handbook_cn.txt|04_data_security_policy_cn.txt,True,True,1,1.0,8,,,,,
